Date/Time (LST),Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Meter Reading (KWHr)
06-01-2023 22:00,1,6,22:00,-0.9,-2.6,88,28,23,24.1,100.31,,-7,Mostly Cloudy,7.246
06-01-2023 23:00,1,6,23:00,-1.7,-3.6,87,29,18,24.1,100.33,,-7,NA,7.215
07-01-2023 00:00,1,7,00:00,-2.4,-4.8,84,29,20,24.1,100.38,,-8,NA,7.332
07-01-2023 01:00,1,7,01:00,-3,-5.4,84,31,27,24.1,100.4,,-10,Mostly Cloudy,7.421
07-01-2023 02:00,1,7,02:00,-4,-6.4,83,29,18,24.1,100.45,,-10,NA,7.392
07-01-2023 03:00,1,7,03:00,-4.5,-7,83,30,22,24.1,100.48,,-11,NA,7.371
07-01-2023 04:00,1,7,04:00,-5.6,-8.3,81,30,19,24.1,100.52,,-12,Mostly Cloudy,7.257
07-01-2023 05:00,1,7,05:00,-5.7,-8,84,31,27,16.1,100.61,,-14,Snow,7.347
07-01-2023 06:00,1,7,06:00,-6.1,-8,87,31,17,24.1,100.65,,-12,Snow,7.363
07-01-2023 07:00,1,7,07:00,-7,-9.6,82,31,21,24.1,100.72,,-14,Mostly Cloudy,7.255
07-01-2023 08:00,1,7,08:00,-7.3,-10,81,30,18,24.1,100.77,,-14,NA,7.246
07-01-2023 09:00,1,7,09:00,-7.2,-10.1,80,30,22,24.1,100.81,,-15,NA,7.127
07-01-2023 10:00,1,7,10:00,-6.8,-9.8,79,30,22,24.1,100.88,,-14,Mostly Cloudy,7.637
07-01-2023 11:00,1,7,11:00,-6.7,-9.3,82,32,16,16.1,100.93,,-13,Snow Showers,7.461
07-01-2023 12:00,1,7,12:00,-6.7,-9.6,80,32,24,24.1,100.9,,-14,Snow Showers,7.309
07-01-2023 13:00,1,7,13:00,-6.7,-9.3,81,32,18,6.4,100.91,,-13,Snow Showers,7.034
07-01-2023 14:00,1,7,14:00,-7,-10.1,79,33,20,9.7,100.95,,-14,Snow Showers,7.315
07-01-2023 15:00,1,7,15:00,-7,-9.9,80,33,18,8.1,101.04,,-14,Snow Showers,7.213
07-01-2023 16:00,1,7,16:00,-7.5,-11.3,75,35,20,16.1,101.14,,-15,Snow Showers,7.118
07-01-2023 17:00,1,7,17:00,-8,-12,73,32,26,19.3,101.25,,-16,Snow Showers,7.312
07-01-2023 18:00,1,7,18:00,-8.4,-12,75,31,27,16.1,101.34,,-17,Snow Showers,7.001
07-01-2023 19:00,1,7,19:00,-8.8,-12.5,75,31,20,16.1,101.41,,-16,Snow Showers,7.318
07-01-2023 20:00,1,7,20:00,-8.9,-12.4,76,34,19,16.1,101.46,,-16,Snow Showers,7.067
07-01-2023 21:00,1,7,21:00,-9,-12.8,74,33,17,16.1,101.49,,-16,Snow Showers,7.13
07-01-2023 22:00,1,7,22:00,-9.1,-12.5,76,32,13,24.1,101.5,,-15,Snow Showers,7.567
07-01-2023 23:00,1,7,23:00,-9.2,-12.8,75,32,13,24.1,101.49,,-15,Snow Showers,7.286
08-01-2023 00:00,1,8,00:00,-10.1,-12.8,81,30,13,24.1,101.48,,-16,NA,7.343
08-01-2023 01:00,1,8,01:00,-11.2,-13.2,85,32,9,24.1,101.43,,-16,Snow Showers,7.183
08-01-2023 02:00,1,8,02:00,-10.7,-13.5,80,27,6,24.1,101.42,,-14,Snow Showers,7.24
08-01-2023 03:00,1,8,03:00,-10.7,-13.2,82,24,9,24.1,101.47,,-16,Snow Showers,7.173
08-01-2023 04:00,1,8,04:00,-11.5,-14.3,80,27,12,24.1,101.46,,-18,Mainly Clear,7.4
08-01-2023 05:00,1,8,05:00,-12.4,-14.4,85,27,10,24.1,101.43,,-18,NA,7.414
08-01-2023 06:00,1,8,06:00,-12.4,-13.8,89,28,6,24.1,101.38,,-16,NA,7.343
08-01-2023 07:00,1,8,07:00,-10.9,-13.2,83,23,7,24.1,101.39,,-15,Snow Showers,7.329
08-01-2023 08:00,1,8,08:00,-10.6,-13.3,80,24,12,24.1,101.38,,-17,NA,7.122
08-01-2023 09:00,1,8,09:00,-10,-12.3,83,20,10,12.9,101.33,,-15,Snow,7.372
08-01-2023 10:00,1,8,10:00,-9.6,-12.1,82,22,11,16.1,101.31,,-15,Snow,7.134
08-01-2023 11:00,1,8,11:00,-9,-11.5,82,22,15,24.1,101.23,,-16,Snow,7.512
08-01-2023 12:00,1,8,12:00,-8.2,-10.9,81,21,13,24.1,101.16,,-14,Snow,7.112
08-01-2023 13:00,1,8,13:00,-6.7,-10.4,75,24,12,24.1,101.02,,-12,Mostly Cloudy,7.265
08-01-2023 14:00,1,8,14:00,-5.8,-10.2,71,25,11,24.1,100.9,,-11,NA,7.215
08-01-2023 15:00,1,8,15:00,-5.1,-9.7,70,25,9,24.1,100.84,,-9,NA,7.092
08-01-2023 16:00,1,8,16:00,-5.2,-9.7,71,23,11,24.1,100.77,,-10,Mostly Cloudy,6.939
08-01-2023 17:00,1,8,17:00,-5.7,-9.2,77,21,11,24.1,100.71,,-10,NA,7.316
08-01-2023 18:00,1,8,18:00,-5.8,-9.2,77,22,15,24.1,100.63,,-12,NA,7.207
08-01-2023 19:00,1,8,19:00,-6.3,-9.1,80,22,14,24.1,100.59,,-12,Mostly Cloudy,7.113
08-01-2023 20:00,1,8,20:00,-6.2,-8.8,82,23,14,24.1,100.55,,-12,NA,7.098
08-01-2023 21:00,1,8,21:00,-6,-8.6,82,26,18,24.1,100.49,,-12,NA,7.152
08-01-2023 22:00,1,8,22:00,-5.9,-8.3,83,25,13,24.1,100.44,,-11,Cloudy,7.567
08-01-2023 23:00,1,8,23:00,-5.5,-7.7,84,24,9,24.1,100.38,,-10,NA,7.325
09-01-2023 00:00,1,9,00:00,-4.8,-7.5,82,25,18,24.1,100.3,,-11,NA,7.194
09-01-2023 01:00,1,9,01:00,-5,-7.6,82,26,18,24.1,100.21,,-11,Cloudy,7.205
09-01-2023 02:00,1,9,02:00,-5,-7.3,84,25,10,24.1,100.16,,-9,NA,7.18
09-01-2023 03:00,1,9,03:00,-4.8,-7.2,84,22,14,24.1,100.19,,-10,NA,7.094
09-01-2023 04:00,1,9,04:00,-4.8,-7,84,22,12,24.1,100.11,,-10,Cloudy,7.308
09-01-2023 05:00,1,9,05:00,-4.9,-7,85,21,14,24.1,100,,-10,NA,7.089
09-01-2023 06:00,1,9,06:00,-4.7,-6.8,85,20,11,24.1,99.94,,-9,NA,9.632
09-01-2023 07:00,1,9,07:00,-4.4,-6.5,85,21,14,24.1,99.96,,-10,Cloudy,9.302
09-01-2023 08:00,1,9,08:00,-4,-6.1,85,20,14,24.1,99.93,,-9,NA,11.565
09-01-2023 09:00,1,9,09:00,-3.5,-5.7,85,21,16,24.1,99.91,,-9,NA,11.709
09-01-2023 10:00,1,9,10:00,-2.8,-5.2,84,21,16,24.1,99.88,,-8,Cloudy,11.954
09-01-2023 11:00,1,9,11:00,-2.2,-4.9,82,21,20,24.1,99.83,,-8,NA,12.02
09-01-2023 12:00,1,9,12:00,-1.9,-4.7,81,21,24,24.1,99.72,,-8,NA,11.758
09-01-2023 13:00,1,9,13:00,-1.7,-4.5,81,21,20,24.1,99.64,,-7,Cloudy,11.519
09-01-2023 14:00,1,9,14:00,-1.3,-4,82,22,22,16.1,99.55,,-7,NA,10.726
09-01-2023 15:00,1,9,15:00,-1.2,-3.7,83,21,24,16.1,99.52,,-7,NA,10.168
